Title,Link,Image URL
Hawaii Five-O,https://www.sensacine.com/series/serie-479/,https://es.web.img3.acsta.net/c_310_420/pictures/13/12/10/17/55/583811.jpg
Ley y Orden: crimen organizado,https://www.sensacine.com/series/serie-26420/video-19568896/,https://es.web.img3.acsta.net/c_310_420/pictures/21/10/22/10/01/0723051.jpg
Ferry: La serie,https://www.sensacine.com/series/serie-34987/video-19573808/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
The Gentlemen: La serie,https://www.sensacine.com/series/serie-27403/video-19574608/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Penny Dreadful,https://www.sensacine.com/series/serie-11787/video-19537875/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Tándem,https://www.sensacine.com/series/serie-20085/video-19561188/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Bajo sospecha,https://www.sensacine.com/series/serie-17475/video-19551671/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Quédate a mi lado,https://www.sensacine.com/series/serie-27552/video-19569411/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
FBI: Internacional,https://www.sensacine.com/series/serie-28504/video-19569750/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
CSI: Nueva York,https://www.sensacine.com/series/serie-232/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Crimen en el trópico,https://www.sensacine.com/series/serie-25075/video-19570979/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Goliath,https://www.sensacine.com/series/serie-19491/video-19549403/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Psych,https://www.sensacine.com/series/serie-847/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
La Caza. Tramuntana,https://www.sensacine.com/series/serie-28192/video-19566661/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
